Data,"Aquisições da página ""Detalhes do app"" (Todos os usuários, Usuários únicos, Por intervalo, Diária): Todas as origens de tráfego","Aquisições da página ""Detalhes do app"" (Todos os usuários, Usuários únicos, Por intervalo, Diária): Pesquisa no Google Play","Aquisições da página ""Detalhes do app"" (Todos os usuários, Usuários únicos, Por intervalo, Diária): Navegação no Google Play","Aquisições da página ""Detalhes do app"" (Todos os usuários, Usuários únicos, Por intervalo, Diária): Anúncios e indicações",Observações
2 de mai. de 2026,9,6,2,1,
3 de mai. de 2026,12,3,9,0,
4 de mai. de 2026,6,1,5,0,
5 de mai. de 2026,14,1,10,3,
6 de mai. de 2026,8,6,2,0,
7 de mai. de 2026,9,2,7,0,Lançamento da versão: Início do lançamento de 49 (2.1.26) em 20%.
8 de mai. de 2026,6,4,1,1,Lançamento da versão: Aumento do lançamento de 49 (2.1.26) para 100%. Lançamento da versão: Interrupção do lançamento de 49 (2.1.26).
9 de mai. de 2026,4,0,4,0,
10 de mai. de 2026,6,0,6,0,
11 de mai. de 2026,9,2,5,2,
12 de mai. de 2026,11,6,3,2,Lançamento da versão: Início do lançamento de 56 (2.1.33) em 100%.
13 de mai. de 2026,13,5,8,0,
14 de mai. de 2026,13,4,9,0,
15 de mai. de 2026,14,9,5,0,
16 de mai. de 2026,10,4,5,1,
17 de mai. de 2026,11,3,8,0,
18 de mai. de 2026,11,4,7,0,
19 de mai. de 2026,10,6,3,1,
20 de mai. de 2026,14,7,5,2,
21 de mai. de 2026,12,5,5,2,
22 de mai. de 2026,13,3,9,1,Lançamento da versão: Início do lançamento de 58 (2.1.35) em 100%.
23 de mai. de 2026,14,3,11,0,
24 de mai. de 2026,21,11,8,2,
