Data,"Aquisição de usuários (Todos os usuários, Todos os eventos, Por intervalo, Diária): Todos os países / todas as regiões","Aquisição de usuários (Todos os usuários, Todos os eventos, Por intervalo, Diária): Brasil",Observações
2 de mai. de 2026,10,9,
3 de mai. de 2026,13,9,
4 de mai. de 2026,7,4,
5 de mai. de 2026,15,9,
6 de mai. de 2026,9,9,
7 de mai. de 2026,10,8,Lançamento da versão: Início do lançamento de 49 (2.1.26) em 20%.
8 de mai. de 2026,9,7,Lançamento da versão: Aumento do lançamento de 49 (2.1.26) para 100%. Lançamento da versão: Interrupção do lançamento de 49 (2.1.26).
9 de mai. de 2026,5,4,
10 de mai. de 2026,6,2,
11 de mai. de 2026,10,5,
12 de mai. de 2026,12,11,Lançamento da versão: Início do lançamento de 56 (2.1.33) em 100%.
13 de mai. de 2026,14,11,
14 de mai. de 2026,13,12,
15 de mai. de 2026,15,14,
16 de mai. de 2026,12,9,
17 de mai. de 2026,11,8,
18 de mai. de 2026,10,8,
19 de mai. de 2026,13,11,
20 de mai. de 2026,17,15,
21 de mai. de 2026,13,13,
22 de mai. de 2026,14,9,Lançamento da versão: Início do lançamento de 58 (2.1.35) em 100%.
23 de mai. de 2026,17,12,
24 de mai. de 2026,29,25,
25 de mai. de 2026,25,25,
26 de mai. de 2026,15,13,Lançamento da versão: Interrupção do lançamento de 58 (2.1.35).
27 de mai. de 2026,20,17,
28 de mai. de 2026,8,5,Lançamento da versão: Início do lançamento de 60 (2.1.37) em 100%.
