Data,"Perda do dispositivo (Todos os dispositivos, Todos os eventos, Por intervalo, Diária): Todos os países / todas as regiões","Perda do dispositivo (Todos os dispositivos, Todos os eventos, Por intervalo, Diária): Brasil",Observações
2 de mai. de 2026,4,3,
3 de mai. de 2026,10,7,
4 de mai. de 2026,3,3,
5 de mai. de 2026,11,9,
6 de mai. de 2026,8,5,
7 de mai. de 2026,13,9,Lançamento da versão: Início do lançamento de 49 (2.1.26) em 20%.
8 de mai. de 2026,13,9,Lançamento da versão: Aumento do lançamento de 49 (2.1.26) para 100%. Lançamento da versão: Interrupção do lançamento de 49 (2.1.26).
9 de mai. de 2026,3,3,
10 de mai. de 2026,8,7,
11 de mai. de 2026,5,5,
12 de mai. de 2026,11,11,Lançamento da versão: Início do lançamento de 56 (2.1.33) em 100%.
13 de mai. de 2026,12,7,
14 de mai. de 2026,8,5,
15 de mai. de 2026,11,9,
16 de mai. de 2026,7,6,
17 de mai. de 2026,6,4,
18 de mai. de 2026,9,9,
19 de mai. de 2026,7,6,
20 de mai. de 2026,8,6,
21 de mai. de 2026,3,3,
22 de mai. de 2026,11,9,Lançamento da versão: Início do lançamento de 58 (2.1.35) em 100%.
23 de mai. de 2026,13,6,
24 de mai. de 2026,30,27,
25 de mai. de 2026,20,19,
26 de mai. de 2026,20,16,Lançamento da versão: Interrupção do lançamento de 58 (2.1.35).
27 de mai. de 2026,8,5,
28 de mai. de 2026,8,8,Lançamento da versão: Início do lançamento de 60 (2.1.37) em 100%.
