Data,"Aquisições da página ""Detalhes do app"" (Todos os usuários, Usuários únicos, Por intervalo, Diária): Todos os países / todas as regiões","Aquisições da página ""Detalhes do app"" (Todos os usuários, Usuários únicos, Por intervalo, Diária): Brasil",Observações
2 de mai. de 2026,9,8,
3 de mai. de 2026,12,9,
4 de mai. de 2026,6,3,
5 de mai. de 2026,14,9,
6 de mai. de 2026,8,8,
7 de mai. de 2026,9,7,Lançamento da versão: Início do lançamento de 49 (2.1.26) em 20%.
8 de mai. de 2026,6,5,Lançamento da versão: Aumento do lançamento de 49 (2.1.26) para 100%. Lançamento da versão: Interrupção do lançamento de 49 (2.1.26).
9 de mai. de 2026,4,3,
10 de mai. de 2026,6,3,
11 de mai. de 2026,9,4,
12 de mai. de 2026,11,10,Lançamento da versão: Início do lançamento de 56 (2.1.33) em 100%.
13 de mai. de 2026,13,10,
14 de mai. de 2026,13,12,
15 de mai. de 2026,14,13,
16 de mai. de 2026,10,7,
17 de mai. de 2026,11,9,
18 de mai. de 2026,11,9,
19 de mai. de 2026,10,8,
20 de mai. de 2026,14,12,
21 de mai. de 2026,12,11,
22 de mai. de 2026,13,9,Lançamento da versão: Início do lançamento de 58 (2.1.35) em 100%.
23 de mai. de 2026,14,10,
24 de mai. de 2026,21,17,
