Data,"Base de instalações (Todos os dispositivos, Dispositivos únicos, Por intervalo, Diária): Todos os países / todas as regiões","Base de instalações (Todos os dispositivos, Dispositivos únicos, Por intervalo, Diária): Brasil",Observações
10 de jul. de 2025,0,0,
11 de jul. de 2025,0,0,
12 de jul. de 2025,0,0,
13 de jul. de 2025,0,0,
14 de jul. de 2025,0,0,
15 de jul. de 2025,0,0,
16 de jul. de 2025,0,0,
17 de jul. de 2025,0,0,
18 de jul. de 2025,0,0,
19 de jul. de 2025,0,0,
20 de jul. de 2025,0,0,
21 de jul. de 2025,0,0,
22 de jul. de 2025,0,0,
23 de jul. de 2025,0,0,
24 de jul. de 2025,0,0,
25 de jul. de 2025,0,0,
26 de jul. de 2025,0,0,
27 de jul. de 2025,0,0,
28 de jul. de 2025,0,0,
29 de jul. de 2025,0,0,
30 de jul. de 2025,0,0,
31 de jul. de 2025,0,0,
1 de ago. de 2025,0,0,
2 de ago. de 2025,0,0,
3 de ago. de 2025,0,0,
4 de ago. de 2025,0,0,
5 de ago. de 2025,0,0,
6 de ago. de 2025,0,0,
7 de ago. de 2025,0,0,
8 de ago. de 2025,0,0,
9 de ago. de 2025,0,0,
10 de ago. de 2025,0,0,
11 de ago. de 2025,0,0,
12 de ago. de 2025,0,0,
13 de ago. de 2025,0,0,
14 de ago. de 2025,0,0,
15 de ago. de 2025,0,0,
16 de ago. de 2025,0,0,
17 de ago. de 2025,0,0,
18 de ago. de 2025,0,0,
19 de ago. de 2025,0,0,
20 de ago. de 2025,0,0,
21 de ago. de 2025,0,0,
22 de ago. de 2025,0,0,
23 de ago. de 2025,0,0,
24 de ago. de 2025,0,0,
25 de ago. de 2025,0,0,
26 de ago. de 2025,0,0,
27 de ago. de 2025,0,0,
28 de ago. de 2025,0,0,
29 de ago. de 2025,0,0,
30 de ago. de 2025,0,0,
31 de ago. de 2025,0,0,
1 de set. de 2025,0,0,
2 de set. de 2025,0,0,
3 de set. de 2025,0,0,
4 de set. de 2025,0,0,
5 de set. de 2025,0,0,
6 de set. de 2025,0,0,
7 de set. de 2025,0,0,
8 de set. de 2025,0,0,
9 de set. de 2025,0,0,
10 de set. de 2025,0,0,
11 de set. de 2025,0,0,
12 de set. de 2025,0,0,
13 de set. de 2025,0,0,
14 de set. de 2025,0,0,
15 de set. de 2025,0,0,
16 de set. de 2025,0,0,
17 de set. de 2025,0,0,
18 de set. de 2025,0,0,
19 de set. de 2025,0,0,
20 de set. de 2025,0,0,
21 de set. de 2025,0,0,
22 de set. de 2025,0,0,
23 de set. de 2025,0,0,
24 de set. de 2025,0,0,
25 de set. de 2025,0,0,
26 de set. de 2025,0,0,
27 de set. de 2025,0,0,
28 de set. de 2025,0,0,
29 de set. de 2025,0,0,
30 de set. de 2025,0,0,
1 de out. de 2025,0,0,
2 de out. de 2025,0,0,
3 de out. de 2025,0,0,
4 de out. de 2025,0,0,
5 de out. de 2025,0,0,
6 de out. de 2025,0,0,
7 de out. de 2025,0,0,
8 de out. de 2025,0,0,
9 de out. de 2025,0,0,
10 de out. de 2025,0,0,
11 de out. de 2025,0,0,
12 de out. de 2025,0,0,
13 de out. de 2025,0,0,
14 de out. de 2025,0,0,
15 de out. de 2025,0,0,
16 de out. de 2025,0,0,
17 de out. de 2025,0,0,
18 de out. de 2025,0,0,
19 de out. de 2025,0,0,
20 de out. de 2025,0,0,
21 de out. de 2025,0,0,
22 de out. de 2025,0,0,
23 de out. de 2025,0,0,
24 de out. de 2025,0,0,
25 de out. de 2025,0,0,
26 de out. de 2025,0,0,
27 de out. de 2025,0,0,
28 de out. de 2025,0,0,
29 de out. de 2025,0,0,
30 de out. de 2025,0,0,
31 de out. de 2025,0,0,
1 de nov. de 2025,0,0,
2 de nov. de 2025,0,0,
3 de nov. de 2025,0,0,
4 de nov. de 2025,0,0,
5 de nov. de 2025,0,0,
6 de nov. de 2025,0,0,
7 de nov. de 2025,0,0,
8 de nov. de 2025,0,0,
9 de nov. de 2025,0,0,
10 de nov. de 2025,0,0,
11 de nov. de 2025,0,0,
12 de nov. de 2025,0,0,
13 de nov. de 2025,0,0,
14 de nov. de 2025,0,0,
15 de nov. de 2025,0,0,
16 de nov. de 2025,13,13,
17 de nov. de 2025,11,11,
18 de nov. de 2025,11,11,
19 de nov. de 2025,13,13,
20 de nov. de 2025,14,14,
21 de nov. de 2025,12,12,
22 de nov. de 2025,1,1,
23 de nov. de 2025,2,2,
24 de nov. de 2025,2,2,
25 de nov. de 2025,2,2,
26 de nov. de 2025,13,13,
27 de nov. de 2025,9,9,
28 de nov. de 2025,8,8,
29 de nov. de 2025,7,7,
30 de nov. de 2025,5,5,
1 de dez. de 2025,3,3,
2 de dez. de 2025,3,3,
3 de dez. de 2025,2,2,Lançamento da versão: Início do lançamento de 2 (1.0.1) em 100%.
4 de dez. de 2025,6,6,Lançamento da versão: Início do lançamento de 3 (1.0.2) em 100%.
5 de dez. de 2025,4,4,
6 de dez. de 2025,4,4,
7 de dez. de 2025,4,4,
8 de dez. de 2025,7,7,
