Data,"Base de instalações (Todos os dispositivos, Dispositivos únicos, Por intervalo, Diária): Todos os países / todas as regiões","Base de instalações (Todos os dispositivos, Dispositivos únicos, Por intervalo, Diária): Brasil",Observações
2 de mai. de 2026,404,355,
3 de mai. de 2026,407,360,
4 de mai. de 2026,399,350,
5 de mai. de 2026,410,348,
6 de mai. de 2026,410,359,
7 de mai. de 2026,422,369,Lançamento da versão: Início do lançamento de 49 (2.1.26) em 20%.
8 de mai. de 2026,410,364,Lançamento da versão: Aumento do lançamento de 49 (2.1.26) para 100%. Lançamento da versão: Interrupção do lançamento de 49 (2.1.26).
9 de mai. de 2026,414,362,
10 de mai. de 2026,420,365,
11 de mai. de 2026,420,361,
12 de mai. de 2026,417,359,Lançamento da versão: Início do lançamento de 56 (2.1.33) em 100%.
13 de mai. de 2026,438,382,
14 de mai. de 2026,426,370,
15 de mai. de 2026,429,376,
16 de mai. de 2026,437,379,
17 de mai. de 2026,447,391,
18 de mai. de 2026,463,401,
19 de mai. de 2026,455,392,
20 de mai. de 2026,471,408,
21 de mai. de 2026,480,418,
22 de mai. de 2026,466,404,Lançamento da versão: Início do lançamento de 58 (2.1.35) em 100%.
23 de mai. de 2026,475,415,
24 de mai. de 2026,482,420,
25 de mai. de 2026,492,429,
26 de mai. de 2026,483,422,Lançamento da versão: Interrupção do lançamento de 58 (2.1.35).
27 de mai. de 2026,501,439,
