Data,"Compradores diários (Todos os compradores, Por intervalo, Diária): Todos os países / todas as regiões",Observações
2 de mai. de 2026,0,
3 de mai. de 2026,0,
4 de mai. de 2026,0,
5 de mai. de 2026,0,
6 de mai. de 2026,0,
7 de mai. de 2026,0,Lançamento da versão: Início do lançamento de 49 (2.1.26) em 20%.
8 de mai. de 2026,0,Lançamento da versão: Aumento do lançamento de 49 (2.1.26) para 100%. Lançamento da versão: Interrupção do lançamento de 49 (2.1.26).
9 de mai. de 2026,0,
10 de mai. de 2026,0,
11 de mai. de 2026,0,
12 de mai. de 2026,0,
13 de mai. de 2026,0,Lançamento da versão: Início do lançamento de 56 (2.1.33) em 100%.
14 de mai. de 2026,0,
15 de mai. de 2026,0,
16 de mai. de 2026,0,
17 de mai. de 2026,0,
18 de mai. de 2026,0,
19 de mai. de 2026,0,
20 de mai. de 2026,0,
21 de mai. de 2026,0,
22 de mai. de 2026,0,Lançamento da versão: Início do lançamento de 58 (2.1.35) em 100%.
23 de mai. de 2026,0,
24 de mai. de 2026,0,
25 de mai. de 2026,0,
26 de mai. de 2026,0,
27 de mai. de 2026,0,Lançamento da versão: Interrupção do lançamento de 58 (2.1.35).
28 de mai. de 2026,0,Lançamento da versão: Início do lançamento de 60 (2.1.37) em 100%.
